TESTE	NOME	TOTAL	SUCESSO	FALHOU
1	testes.TesteCaixa -> Caixa_criar	1	1	0
2	testes.TesteCaixa -> Caixa_explodir	2	2	0
3	testes.TesteCaixa -> Caixa_percarrendo_itens	1	1	0
4	testes.TesteCaixa -> Caixa_retorna_item_e_posicao	7	7	0
5	testes.TesteCalebeDocumento -> criaAtributoVerficaSeExiste	9	9	0
6	testes.TesteCalebeDocumento -> criarObjetoVerficaSeExiste	6	6	0
7	testes.TesteCalebeDocumento -> parserCalebeDocumento	6	6	0
8	testes.TesteCalebeDocumento -> removeAtributoVerficaSeExiste	5	5	0
9	testes.TesteCalebeDocumento -> removeObjetoVerficaSeExiste	11	11	0
10	testes.TesteCronometro -> Cronometro	6	6	0
11	testes.TesteDados -> io_ler_arquivo	0	0	0
12	testes.TesteData -> Data_dia_da_semana_composto	3	3	0
13	testes.TesteData -> Data_dia_da_semana_sigla	3	3	0
14	testes.TesteData -> Data_dia_da_semana_simples	3	3	0
15	testes.TesteData -> Data_diferente	1	1	0
16	testes.TesteData -> Data_igual	1	1	0
17	testes.TesteData -> Data_invalida	3	3	0
18	testes.TesteData -> Data_maior	1	1	0
19	testes.TesteData -> Data_maior_ou_igual	3	3	0
20	testes.TesteData -> Data_menor	1	1	0
21	testes.TesteData -> Data_menor_ou_igual	3	3	0
22	testes.TesteData -> Data_valida	1	1	0
23	testes.TesteEditorImagem -> Teste_Desenhar_Retangulo	0	0	0
24	testes.TesteEditorImagem -> Teste_Desenhar_Retangulo_Com_Cor	0	0	0
25	testes.TesteEditorImagem -> Teste_Pintar_Retangulo	0	0	0
26	testes.TesteEditorImagem -> Teste_Set_Cor	0	0	0
27	testes.TesteFMT -> FMT_direita	1	1	0
28	testes.TesteFMT -> FMT_esquerda	1	1	0
29	testes.TesteFMT -> FMT_multiplas	0	0	0
30	testes.TesteFMT -> FMT_println	6	6	0
31	testes.TesteHorario -> Horario_diferente	1	1	0
32	testes.TesteHorario -> Horario_igual	1	1	0
33	testes.TesteHorario -> Horario_invalido	1	1	0
34	testes.TesteHorario -> Horario_maior	1	1	0
35	testes.TesteHorario -> Horario_maior_ou_igual	3	3	0
36	testes.TesteHorario -> Horario_menor	1	1	0
37	testes.TesteHorario -> Horario_menor_ou_igual	3	3	0
38	testes.TesteHorario -> Horario_valido	1	1	0
39	testes.TesteInteiros -> Inteiros_diferente	1	1	0
40	testes.TesteInteiros -> Inteiros_igual	1	1	0
41	testes.TesteInteiros -> Inteiros_maior	1	1	0
42	testes.TesteInteiros -> Inteiros_maior_igual	1	1	0
43	testes.TesteInteiros -> Inteiros_menor	1	1	0
44	testes.TesteInteiros -> Inteiros_menor_igual	1	1	0
45	testes.TesteLista -> Lista_clonar	9	9	0
46	testes.TesteLista -> Lista_contagem_valor	3	3	0
47	testes.TesteLista -> Lista_criar	1	1	0
48	testes.TesteLista -> Lista_esta_vazia	2	2	0
49	testes.TesteLista -> Lista_existe_valor	3	3	0
50	testes.TesteLista -> Lista_filtrar	4	4	0
51	testes.TesteLista -> Lista_filtrar_parametrizado	2	2	0
52	testes.TesteLista -> Lista_inserir	4	4	0
53	testes.TesteLista -> Lista_limpar	2	2	0
54	testes.TesteLista -> Lista_percarrendo_itens	1	1	0
55	testes.TesteLista -> Lista_quantidade	4	4	0
56	testes.TesteLista -> Lista_remover_por_posicao	9	9	0
57	testes.TesteLista -> Lista_remover_por_referencia	9	9	0
58	testes.TesteLista -> Lista_remover_por_valor	4	4	0
59	testes.TesteLista -> Lista_retorna_item_e_posicao	7	7	0
60	testes.TesteLista -> Lista_set	5	5	0
61	testes.TesteLista -> Lista_set_posicao_invalida	2	2	0
62	testes.TesteTalvez -> Talvez_existe	2	2	0
63	testes.TesteTalvez -> Talvez_nao_existe	1	1	0
64	testes.TesteTempo -> Tempo_dia_entre	1	1	0
65	testes.TesteTempo -> Tempo_dia_hoje	0	0	0
66	testes.TesteTempo -> Tempo_formatador	5	5	0
67	testes.TesteTempo -> Tempo_hora_agora	0	0	0
68	testes.TesteTempo -> Tempo_horas_entre	1	1	0
69	testes.TesteTempo -> Tempo_minutos_entre	1	1	0
70	testes.TesteTempo -> Tempo_segundos_entre	1	1	0
71	testes.TesteTexto -> Texto_compara_se_comeca_com	5	5	0
72	testes.TesteTexto -> Texto_compara_se_termina_com	5	5	0
73	testes.TesteTexto -> Texto_igualdade_entre_Strings	1	1	0
74	testes.TesteTexto -> Texto_transforma_em_maiusculo	1	1	0
75	testes.TesteTexto -> Texto_transforma_em_minusculo	1	1	0
